#TYPE Microsoft.GroupPolicy.GpoBackup
"DisplayName","GpoId","Id","BackupDirectory","CreationTime","DomainName","Comment"
"ok - Lync users","8a69c70d-dbdd-4ca8-bd87-6e61e13f5933","d9141645-3b49-4d9e-9f07-5e4b0db0c7dd","\\dd2500\Backups\GP","2/26/2018 1:24:19 AM","deltabank.co.yu","Weekly GP Backup"
"Test - OCR Obuka","8cdbe19d-b3e1-421b-8615-d6af7277ce5f","bbcda077-0075-40c2-b769-9a8ccf70c29a","\\dd2500\Backups\GP","2/26/2018 1:24:30 AM","deltabank.co.yu","Weekly GP Backup"
"Ok - Wireless Policy Win10","8e936854-108c-45ce-8eb9-2c705584be66","815b0a2d-8147-440d-bede-1753c1933620","\\dd2500\Backups\GP","2/26/2018 1:24:49 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Disable machine account password changes ","903b61cb-9ee4-4106-96ad-a8e8255cc4d2","a92f2a1d-1b20-4ad6-998d-a91fd38ad0ec","\\dd2500\Backups\GP","2/26/2018 1:25:00 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Outlook 2016 Autoarchiving Enabled","905bd037-3601-4834-9577-a21d8ec7e6e0","ea256759-9f6f-49d9-a278-542349954d47","\\dd2500\Backups\GP","2/26/2018 1:25:14 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Turn Off System Restore on Windows XP","97d6e0bb-6666-4a30-a222-a819457897aa","e31d3b5d-54ee-452d-ab4b-9a1082227c63","\\dd2500\Backups\GP","2/26/2018 1:25:21 AM","deltabank.co.yu","Weekly GP Backup"
"ok - PDFCreator GP preferences","9a877595-c140-4e7d-a414-2ec67190d9c6","aa305170-05ca-4093-af7d-bd6d1e873ddd","\\dd2500\Backups\GP","2/26/2018 1:25:30 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix Settings Policy - FC2","9ad16096-5530-4e0c-b169-a1f1438920b5","7d3ca5bc-1bba-476a-a78d-2e8fb162f0cb","\\dd2500\Backups\GP","2/26/2018 1:25:42 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Card - BW3_live FC1","9c4fa04a-92b3-4de8-b81d-04325dfbe5ba","e62fc1d8-d233-400d-ba73-eefe4c53d3bc","\\dd2500\Backups\GP","2/26/2018 1:26:13 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix Settings Policy - Maintenance","a4277ce7-d6a1-4bb1-98b4-68cc3c75fe87","9f61e863-e66b-4693-94c9-39e4499fab46","\\dd2500\Backups\GP","2/26/2018 1:26:40 AM","deltabank.co.yu","Weekly GP Backup"
"test - wsusautnotify","a4bed724-dc2c-4050-b56a-8f1e42ef88da","c397a0f8-1c0b-4901-8417-5b09ff1146eb","\\dd2500\Backups\GP","2/26/2018 1:27:12 AM","deltabank.co.yu","Weekly GP Backup"
"ok ? ServersAdditionalRegistrySettings","a590e3ca-9332-498e-8882-eb0b8ce64b2f","e731cf74-2498-41cf-bdc1-12667b37b75e","\\dd2500\Backups\GP","2/26/2018 1:27:25 AM","deltabank.co.yu","Weekly GP Backup"
