"oCiType","oName","LocId","osType","osName","Domain","Operating_System"
"OS.VM","aml-rt-01","PRM.CED","OS.VM","aml-rt-01","deltabank","Oracle Linux 5.8 (x86_64)"
"OS.VM","XENAPP-009","PRM.CED","OS.VM","XENAPP-009","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","COMMSERVER01","PRM.CED","OS.VM","COMMSERVER01","deltabank","Microsoft Windows 2012 R2 Standard"
"OS.VM","XENAPP-041","PRM.CED","OS.VM","XENAPP-041","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","OCR7-PS-13","PRM.CED","OS.VM","OCR7-PS-13","deltabank","Microsoft Windows 7 Enterprise"
"OS.VM","nsvpx1-esx","SRB.BGD.SS","OS.VM","nsvpx1-esx","DELTABANK","Red Hat Enterprise Linux 5"
"OS.VM","CRISPWEB2","PRM.CED","OS.VM","CRISPWEB2","deltabank","Microsoft Windows 2012 R2 Standard"
"OS.VM","SSEBANK2","PRM.CED","OS.VM","SSEBANK2","ebank","Microsoft Windows 2003 Standard"
"OS.VM","XENAPP-083","PRM.CED","OS.VM","XENAPP-083","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","OCR7-PS-15","PRM.CED","OS.VM","OCR7-PS-15","deltabank","Microsoft Windows 7 Enterprise"
"OS.VM","WCS","SRB.BGD.SS","OS.VM","WCS","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","aml-bp-01","PRM.CED","OS.VM","aml-bp-01","deltabank","Oracle Linux 5.8 (x86_64)"
"OS.AIX","bib-crisp-db-e01","PRM.CED","OS.AIX","bib-crisp-db-e01","deltabank","AIX 6.1"
"OS.VM","bib-vcentar-02","SRB.BGD.SS","OS.VM","bib-vcentar-02","deltabank","VMware Photon 1.0 (x86_64)"
"OS.VM","OBR7-MAS-02","PRM.CED","OS.VM","OBR7-MAS-02","deltabank","Microsoft Windows 7 Enterprise"
"OS.VM","OB-ADAPTER-VIP","PRM.CED","OS.VM","OB-ADAPTER-VIP","ebank","Microsoft® Windows ® 2008 Standard"
"OS.VM","CW-WEB-GATEWAY","PRM.CED","OS.VM","CW-WEB-GATEWAY","ebank","Microsoft Windows 2008 R2 Standard"
"OS.VM","OB-ADAPTER-ARCH","PRM.CED","OS.VM","OB-ADAPTER-ARCH","ebank","Microsoft® Windows ® 2008 Standard"
"OS.VM","XENAPP-080","PRM.CED","OS.VM","XENAPP-080","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","ALMPRO4","PRM.CED","OS.VM","ALMPRO4","deltabank","Microsoft Windows 2008 R2 Standard"
"OS.VM","OBR7-MAS-04","PRM.CED","OS.VM","OBR7-MAS-04","deltabank","Microsoft Windows 7 Enterprise"
"OS.VM","BIZONLINE","PRM.CED","OS.VM","BIZONLINE","online","Microsoft® Windows ® 2008 Standard"
